step,train_loss,eval_loss
0,3.8332548574967817,3.8332548574967817
10,3.0602798461914062,3.0410765517841685
20,2.9296376705169678,2.971850135109641
30,2.9824206829071045,2.9036613594401968
40,2.717478036880493,2.7267039038918237
50,2.6192660331726074,2.6635655056346548
60,2.572012424468994,2.5705186236988413
70,2.612110137939453,2.48621188510548
80,2.4256107807159424,2.4714021899483423
90,2.43998384475708,2.510198961604725
100,2.403794050216675,2.490146051753651
