step,train_loss,eval_loss
0,3.8332548574967817,3.8332548574967817
10,3.0057220458984375,2.9834808219562876
20,2.731816053390503,2.7751276059584185
30,2.68333101272583,2.6008589484474878
40,2.4657626152038574,2.452134284106168
50,2.300920009613037,2.3429974642666904
60,2.2938032150268555,2.265341292728077
70,2.313047409057617,2.2015288417989556
80,2.12433123588562,2.153871265324679
90,2.027451992034912,2.1246093294837256
100,1.9438024759292603,2.063348965211348
