step,train_loss,eval_loss
0,3.8332548574967817,3.8332548574967817
10,3.19443678855896,3.177358865737915
20,2.9855339527130127,3.033819176933982
30,3.012611150741577,2.9579938758503306
40,2.8567869663238525,2.857785875147039
50,2.6889476776123047,2.756981069391424
60,2.646989345550537,2.6599407629533247
70,2.7057950496673584,2.585510102185336
80,2.54641056060791,2.5289512114091353
90,2.437549591064453,2.492539102380926
100,2.4118642807006836,2.485427206212824
